trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-138.85165651015228,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-138.8411823142752,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-135.66344565290862,"{0: 11, 1: 4, 2: 7, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-44.657762575512194,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-52.64004405502722,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-86.23962811491478,"{0: 15, 1: 1, 2: 0, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-16.634350747656452,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-160.52549356461796,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-155.01506209745733,"{0: 17, 1: 6, 2: 2, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,11,12.873814868013259,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-23.689233942411995,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-75.92955617732534,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-74.42557607548264,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-66.38904711803565,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-176.07379577180717,"{0: 27, 1: 2, 2: 0, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-16.467518515805242,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,17,19.796214853847513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-32.68523284431323,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,17.596276942631924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-32.86207023635913,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,30.827649063888618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,15,2.2665676093020464,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,25.72298074211341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-88.37123740144868,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,8,-13.325888211221395,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,23.930926948303707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-54.88274302889129,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,14,-28.36081715537735,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-6.5340567388348,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,7,14.485957048213235,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
