trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",25,0,-27.114127210264233,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",30,0,-243.9482609647364,"{0: 15, 1: 2, 2: 7, 3: 3, 4: 3}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",25,0,-112.32498345049936,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",30,0,-204.96725238612834,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",20,0,-123.81837052905674,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",25,0,-273.2049569152927,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 5}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,8,-63.04710041703796,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",25,0,-85.01633874732673,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-48.08089527854425,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-139.7865434931563,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-229.62094075586342,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 5}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",30,0,-201.77825924284124,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-81.47085067854377,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-188.5229297471075,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-61.22403752243937,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-146.070996974689,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",25,0,-80.64741540300332,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",30,0,-277.6390813513526,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 5}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-184.39907829299503,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,8,-38.684585563557185,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
