trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.33197375280562,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.0260415397332,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.50368274181685,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.24806944763048,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.4558022081848,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.24253844992847,"{0: 25, 1: 2, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,5,-162.3063881526902,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.2488338903193,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.77153871419224,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.84737315250808,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.05549597063774,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.9472379259687,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.32124903749896,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.69053611954692,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.35800015069225,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,15,1.0853263054265367,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.855145865069,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.609355167571856,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.38962841693728,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.995811702972404,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.23558791313167,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,13,-44.66047631778871,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-89.08290458301053,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.49852217559106,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.85103523545084,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.27457602378766,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-268.7825994629944,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.79422481511597,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.69300288477804,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.03860535470105,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
